#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-09T18:42:35 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-09T18:42:35	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=c
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	
#INFO	publisher=CDS	
#INFO	creator=Harris W.E.	
#INFO	related_resource=bibcode:1996AJ....112.1487H	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	
#INFO	publication_date=2015-08-06	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	c	(F5.2)	? Central concentration, c = log(Rt/Rc)	[ucd=em.wl.central]
_RAJ2000	_DEJ2000	ID	RAJ2000	DEJ2000	Rsun	Rgc	X	Y	Z	c
269.758333	-44.265000	NGC 6496 	17 59 02.0	-44 15 54	 11.6	  4.4	 11.1	 -2.4	 -2.0	 0.70
270.411667	-26.839722	Terzan 9 	18 01 38.8	-26 50 23	  7.8	  0.6	  7.8	  0.5	 -0.3	 2.50
270.454583	-27.825833	Djorg 2  	18 01 49.1	-27 49 33	 13.8	  5.8	 13.8	  0.7	 -0.6	 1.50
270.460833	 -8.958889	NGC 6517 	18 01 50.6	-08 57 32	 10.5	  4.1	  9.9	  3.4	  1.2	 1.82
270.739167	-26.066667	Terzan 10	18 02 57.4	-26 04 00	  8.4	  0.8	  8.3	  0.6	 -0.3	
270.892083	-30.033889	NGC 6522 	18 03 34.1	-30 02 02	  7.0	  1.1	  7.0	  0.1	 -0.5	 2.50
270.961250	 -0.296944	NGC 6535 	18 03 50.7	-00 17 49	  6.8	  3.9	  5.9	  3.0	  1.2	 1.30
271.206667	-30.055833	NGC 6528 	18 04 49.6	-30 03 21	  7.4	  0.8	  7.4	  0.1	 -0.5	 2.29
271.207500	 -7.585833	NGC 6539 	18 04 49.8	-07 35 09	  7.9	  3.0	  7.3	  2.8	  0.9	 1.60
271.535833	-27.765278	NGC 6540 	18 06 08.6	-27 45 55	  3.5	  4.5	  3.5	  0.2	 -0.2	 2.50
271.835833	-24.997500	NGC 6544 	18 07 20.6	-24 59 51	  2.5	  5.5	  2.5	  0.3	 -0.1	 1.63
272.009167	-43.705556	NGC 6541 	18 08 02.2	-43 42 20	  7.4	  2.1	  7.2	 -1.4	 -1.4	 2.00
272.315000	-25.907778	NGC 6553 	18 09 15.6	-25 54 28	  4.7	  3.3	  4.7	  0.4	 -0.2	 1.17
272.576667	-31.763611	NGC 6558 	18 10 18.4	-31 45 49	  6.4	  1.8	  6.4	  0.0	 -0.7	 2.50
272.684167	 -7.207500	IC 1276  	18 10 44.2	-07 12 27	  9.3	  3.6	  8.6	  3.5	  0.9	 1.29
273.412083	-31.826389	NGC 6569 	18 13 38.9	-31 49 35	  8.5	  1.1	  8.4	  0.1	 -1.0	 1.27
274.657083	-52.215000	NGC 6584 	18 18 37.7	-52 12 54	 13.0	  6.5	 11.8	 -3.8	 -3.7	 1.20
275.918750	-30.361111	NGC 6624 	18 23 40.5	-30 21 40	  7.9	  1.2	  7.8	  0.4	 -1.1	 2.50
276.137083	-24.870000	NGC 6626 	18 24 32.9	-24 52 12	  5.7	  2.5	  5.7	  0.8	 -0.6	 1.67
277.734167	-25.496389	NGC 6638 	18 30 56.2	-25 29 47	  8.2	  1.5	  8.0	  1.1	 -1.0	 1.40
277.846667	-32.348056	NGC 6637 	18 31 23.2	-32 20 53	  8.2	  1.5	  8.1	  0.2	 -1.5	 1.39
277.976250	-23.476389	NGC 6642 	18 31 54.3	-23 28 35	  7.6	  1.6	  7.5	  1.3	 -0.9	 1.99
278.940417	-32.990278	NGC 6652 	18 35 45.7	-32 59 25	  9.4	  2.2	  9.2	  0.2	 -1.9	 1.80
279.100833	-23.903333	NGC 6656 	18 36 24.2	-23 54 12	  3.2	  5.0	  3.1	  0.5	 -0.4	 1.31
280.374583	-19.825833	Pal 8    	18 41 29.9	-19 49 33	 12.4	  5.2	 12.0	  3.0	 -1.5	 1.53
280.802917	-32.291944	NGC 6681 	18 43 12.7	-32 17 31	  8.7	  2.0	  8.5	  0.4	 -1.9	 2.50
283.267917	 -8.706111	NGC 6712 	18 53 04.3	-08 42 22	  6.7	  3.5	  6.0	  2.9	 -0.5	 0.90
283.763750	-30.478333	NGC 6715 	18 55 03.3	-30 28 42	 26.2	 18.6	 25.3	  2.5	 -6.4	 1.84
283.775833	-22.700833	NGC 6717 	18 55 06.2	-22 42 03	  7.1	  2.4	  6.8	  1.6	 -1.3	 2.07
284.888333	-36.631667	NGC 6723 	18 59 33.2	-36 37 54	  8.6	  2.6	  8.2	  0.0	 -2.5	 1.05
286.313750	 +1.900833	NGC 6749 	19 05 15.3	+01 54 03	  7.7	  4.9	  6.2	  4.6	 -0.3	 0.83
287.715833	-59.981944	NGC 6752 	19 10 51.8	-59 58 55	  3.9	  5.3	  3.2	 -1.4	 -1.7	 2.50
287.800417	 +1.030556	NGC 6760 	19 11 12.1	+01 01 50	  7.3	  4.8	  5.9	  4.3	 -0.5	 1.59
289.147917	+30.184722	NGC 6779 	19 16 35.5	+30 11 05	  9.9	  9.5	  4.5	  8.7	  1.4	 1.37
289.432083	-34.657500	Terzan 7 	19 17 43.7	-34 39 27	 23.0	 15.8	 21.6	  1.3	 -7.9	 1.08
289.508750	+18.571667	Pal 10   	19 18 02.1	+18 34 18	  5.8	  6.4	  3.5	  4.6	  0.3	 0.58
292.183750	-30.353889	Arp 2    	19 28 44.1	-30 21 14	 27.6	 20.4	 25.5	  3.8	 -9.8	 0.90
294.997500	-30.962222	NGC 6809 	19 39 59.4	-30 57 44	  5.3	  3.9	  4.8	  0.7	 -2.1	 0.76
295.437500	-34.000278	Terzan 8 	19 41 45.0	-34 00 01	 25.4	 18.5	 23.0	  2.3	-10.6	 0.60
296.310000	 -8.007222	Pal 11   	19 45 14.4	-08 00 26	 12.6	  7.6	 10.3	  6.4	 -3.4	 0.69
298.442083	+18.778333	NGC 6838 	19 53 46.1	+18 46 42	  3.8	  6.7	  2.1	  3.2	 -0.3	 1.15
301.520000	-21.921389	NGC 6864 	20 06 04.8	-21 55 17	 18.4	 12.4	 15.5	  5.7	 -8.0	 1.88
308.548333	 +7.404167	NGC 6934 	20 34 11.6	+07 24 15	 15.2	 12.4	  8.8	 11.3	 -4.9	 1.53
313.366250	-12.536944	NGC 6981 	20 53 27.9	-12 32 13	 16.8	 12.7	 11.6	  8.1	 -9.1	 1.23
315.372917	+16.187500	NGC 7006 	21 01 29.5	+16 11 15	 40.7	 38.0	 17.0	 34.4	-13.5	 1.42
322.492917	+12.166944	NGC 7078 	21 29 58.3	+12 10 01	 10.2	 10.3	  3.8	  8.2	 -4.7	 2.50
323.372083	 -0.823056	NGC 7089 	21 33 29.3	-00 49 23	 11.4	 10.3	  5.5	  7.4	 -6.7	 1.80
325.091667	-23.179167	NGC 7099 	21 40 22.0	-23 10 45	  7.9	  7.0	  4.8	  2.5	 -5.7	 2.50
326.661667	-21.250833	Pal 12   	21 46 38.8	-21 15 03	 18.7	 15.5	 10.8	  6.4	-13.8	 1.94
346.685000	+12.771944	Pal 13   	23 06 44.4	+12 46 19	 26.3	 27.2	  1.0	 19.3	-17.9	 0.66
347.111250	-15.611389	NGC 7492 	23 08 26.7	-15 36 41	 25.2	 24.3	  6.7	  9.0	-22.5	 1.00

