#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-08T16:08:16 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-08T16:08:16	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=c
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=50	

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	
#INFO	publisher=CDS	
#INFO	creator=Harris W.E.	
#INFO	related_resource=bibcode:1996AJ....112.1487H	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	
#INFO	publication_date=2015-08-06	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
#Column	[Fe/H]	(F5.2)	? Metallicity in log (base 10) scale	[ucd=instr.scale]
#Column	SpT	(A4)	Integrated spectral type	[ucd=src.spType]
#Column	c	(F5.2)	? Central concentration, c = log(Rt/Rc)	[ucd=em.wl.central]
_RAJ2000	_DEJ2000	ID	RAJ2000	DEJ2000	Rsun	Rgc	Vt	[Fe/H]	SpT	c
194.895833	-70.874722	NGC 4833 	12 59 35.0	-70 52 29	  5.9	  6.9	 6.91	-1.79	F3  	 1.25
198.230417	+18.169167	NGC 5024 	13 12 55.3	+18 10 09	 18.4	 18.9	 7.61	-2.07	F6  	 1.78
199.112500	+17.698056	NGC 5053 	13 16 27.0	+17 41 53	 16.2	 16.8	 9.47	-2.29	    	 0.82
201.691250	-47.476944	NGC 5139 	13 26 45.9	-47 28 37	  5.1	  6.3	 3.68	-1.62	F5  	 1.24
205.546667	+28.375556	NGC 5272 	13 42 11.2	+28 22 32	 10.0	 11.9	 6.19	-1.57	F6  	 1.85
206.610417	-51.373333	NGC 5286 	13 46 26.5	-51 22 24	 10.7	  8.2	 7.34	-1.67	F5  	 1.46
208.958750	-27.172778	AM 4     	13 55 50.1	-27 10 22	 29.2	 24.8	15.90	-2.00	    	 0.50
211.363750	+28.534444	NGC 5466 	14 05 27.3	+28 32 04	 16.6	 16.9	 9.04	-2.22	    	 1.43
217.405417	 -5.976389	NGC 5634 	14 29 37.3	-05 58 35	 25.3	 21.3	 9.47	-1.82	F3/4	 1.60
219.902083	-26.538333	NGC 5694 	14 39 36.5	-26 32 18	 33.9	 28.3	10.17	-1.86	F4  	 1.84
225.077083	-82.213611	IC 4499  	15 00 18.5	-82 12 49	 18.4	 15.4	 9.76	-1.60	    	 1.11
225.993750	-33.067778	NGC 5824 	15 03 58.5	-33 04 04	 31.3	 25.1	 9.09	-1.85	F4  	 2.45
229.022083	 -0.111389	Pal 5    	15 16 05.3	-00 06 41	 22.6	 18.0	11.75	-1.38	    	 0.74
229.352083	-21.010278	NGC 5897 	15 17 24.5	-21 00 37	 12.7	  7.6	 8.53	-1.80	F7  	 0.79
229.640833	 +2.082778	NGC 5904 	15 18 33.8	+02 04 58	  7.3	  6.1	 5.65	-1.29	F7  	 1.87
232.002083	-50.672778	NGC 5927 	15 28 00.5	-50 40 22	  7.4	  4.5	 8.01	-0.37	G2  	 1.60
233.868750	-50.659444	NGC 5946 	15 35 28.5	-50 39 34	 12.3	  7.1	 9.61	-1.38	F7/8	 2.50
234.780417	-50.050556	BH 176   	15 39 07.3	-50 03 02	 15.2	  9.4	14.00	     	    	
236.514583	-37.786111	NGC 5986 	15 46 03.5	-37 47 10	 10.3	  4.7	 7.52	-1.67	F5  	 1.22
242.762500	-55.314444	Lynga 7  	16 11 03.0	-55 18 52	  7.0	  4.2	     	-0.62	    	
242.770417	+14.958056	Pal 14   	16 11 04.9	+14 57 29	 72.2	 67.3	14.74	-1.52	    	 0.72
244.260417	-22.975000	NGC 6093 	16 17 02.5	-22 58 30	  8.7	  3.1	 7.33	-1.62	F6  	 1.95
245.897917	-26.525278	NGC 6121 	16 23 35.5	-26 31 31	  2.2	  6.0	 5.63	-1.20	F8  	 1.59
246.452500	-72.201667	NGC 6101 	16 25 48.6	-72 12 06	 15.1	 11.0	 9.16	-1.82	F5: 	 0.80
246.808750	-26.024722	NGC 6144 	16 27 14.1	-26 01 29	 10.1	  3.4	 9.01	-1.73	F5/6	 1.55
246.918333	-38.848889	NGC 6139 	16 27 40.4	-38 50 56	 10.5	  3.9	 8.99	-1.65	F6/7	 1.80
247.167083	-35.353611	Terzan 3 	16 28 40.1	-35 21 13	 26.4	 18.9	12.00	     	    	 0.70
248.132917	-13.053611	NGC 6171 	16 32 31.9	-13 03 13	  6.3	  3.3	 7.93	-1.04	G0  	 1.51

